ProductoID,Producto,Categoria,Precio,Proveedor
P001,Laptop,Computación,22000,NovaSupply
P002,Smartphone,Electrónica,14000,TechMex
P003,Monitor,Computación,6500,GlobalTech
P004,Tablet,Electrónica,9000,CompuDistrib
P005,Televisión,Electrónica,12000,NovaSupply
P006,Audífonos,Audio,1800,TechMex
P007,Teclado,Accesorios,1400,NovaSupply
P008,Mouse,Accesorios,700,CompuDistrib
P009,Webcam,Accesorios,1300,GlobalTech
P010,Impresora,Oficina,4500,NovaSupply
P011,Router,Redes,1800,GlobalTech
P012,SSD 1TB,Almacenamiento,1700,CompuDistrib
P013,Disco Duro,Almacenamiento,2200,TechMex
P014,Silla Gamer,Muebles,5500,GlobalTech
P015,Micrófono USB,Audio,2600,NovaSupply
P016,Smartwatch,Wearables,4500,NovaSupply
P017,Bocina Bluetooth,Audio,2200,NovaSupply
P018,Power Bank,Electrónica,900,CompuDistrib
P019,Control,Videojuegos,1800,CompuDistrib
P020,Videojuego,Videojuegos,1500,TechMex
P021,Consola,Videojuegos,11000,TechMex
P022,Cargador Inalámbrico,Electrónica,1200,TechMex
P023,Proyector,Electrónica,8500,CompuDistrib
P024,Aire Acondicionado,Hogar,14500,TechMex
P025,Aspiradora,Hogar,4200,TechMex
P026,Lámpara de Escritorio,Oficina,800,CompuDistrib
P027,Escritorio,Muebles,6000,NovaSupply
P028,Cable HDMI,Accesorios,250,NovaSupply
P029,Cable USB-C,Accesorios,350,GlobalTech
P030,Tablet Gráfica,Computación,3200,TechMex
